timestep,vehicle id,position,carbon emission,service rate
86.0,truck1,-81163819#10,0.0,0.75
86.0,truck2,-685069351#5,0.0,0.75
87.0,truck0,-81016194#21,0.0,0.75
87.0,truck1,-81163819#10,0.0,0.75
87.0,truck2,-685069351#5,0.0,0.75
88.0,truck0,-81016194#21,0.0,0.75
88.0,truck1,-81163819#10,0.0,0.75
88.0,truck2,-685069351#5,0.0,0.75
89.0,truck0,-81016194#21,0.0,0.75
89.0,truck1,-81163819#10,0.0,0.75
89.0,truck2,-685069351#5,0.0,0.75
90.0,truck0,-81016194#21,0.0,0.75
90.0,truck1,-81163819#10,0.0,0.75
90.0,truck2,-685069351#5,0.0,0.75
91.0,truck0,-81016194#21,0.0,0.75
91.0,truck1,-81163819#10,0.0,0.75
91.0,truck2,-685069351#5,0.0,0.75
92.0,truck0,-81016194#21,0.0,0.75
92.0,truck1,-81163819#10,0.0,0.75
92.0,truck2,-685069351#5,0.0,0.75
93.0,truck0,-81016194#21,0.0,0.75
93.0,truck1,-81163819#10,0.0,0.75
93.0,truck2,-685069351#5,0.0,0.75
94.0,truck0,-81016194#21,0.0,0.75
94.0,truck1,-81163819#10,0.0,0.75
94.0,truck2,-685069351#5,0.0,0.75
95.0,truck0,-81016194#21,0.0,0.75
95.0,truck1,-81163819#10,0.0,0.75
95.0,truck2,-685069351#5,0.0,0.75
96.0,truck0,-81016194#21,0.0,0.75
96.0,truck1,-81163819#10,0.0,0.75
96.0,truck2,-685069351#5,0.0,0.75
97.0,truck0,-81016194#21,0.0,0.75
97.0,truck1,-81163819#10,0.0,0.75
97.0,truck2,-685069351#5,0.0,0.75
98.0,truck0,-81016194#21,0.0,0.75
98.0,truck1,-81163819#10,0.0,0.75
98.0,truck2,-685069351#5,0.0,0.75
99.0,truck0,-81016194#21,0.0,0.75
99.0,truck1,-81163819#10,0.0,0.75
99.0,truck2,-685069351#5,0.0,0.75
100.0,truck0,-81016194#21,0.0,0.75
100.0,truck1,-81163819#10,0.0,0.75
100.0,truck2,-685069351#5,0.0,0.75
101.0,truck0,-81016194#21,0.0,0.75
101.0,truck1,-81163819#10,0.0,0.75
101.0,truck2,-685069351#5,0.0,0.75
102.0,truck0,-81016194#21,0.0,0.75
102.0,truck1,-81163819#10,0.0,0.75
102.0,truck2,-685069351#5,0.0,0.75
103.0,truck0,-81016194#21,0.0,0.75
103.0,truck1,-81163819#10,0.0,0.75
103.0,truck2,-685069351#5,0.0,0.75
104.0,truck0,-81016194#21,0.0,0.75
104.0,truck1,-81163819#10,0.0,0.75
104.0,truck2,-685069351#5,0.0,0.75
105.0,truck0,-81016194#21,0.0,0.75
105.0,truck1,-81163819#10,0.0,0.75
105.0,truck2,-685069351#5,0.0,0.75
106.0,truck0,-81016194#21,0.0,0.75
106.0,truck1,-81163819#10,0.0,0.75
106.0,truck2,-685069351#5,0.0,0.75
107.0,truck0,-81016194#21,0.0,0.75
107.0,truck1,-81163819#10,0.0,0.75
107.0,truck2,-685069351#5,0.0,0.75
108.0,truck0,-81016194#21,0.0,0.75
108.0,truck1,-81163819#10,0.0,0.75
108.0,truck2,-685069351#5,0.0,0.75
109.0,truck0,-81016194#21,0.0,0.75
109.0,truck1,-81163819#10,0.0,0.75
109.0,truck2,-685069351#5,0.0,0.75
110.0,truck0,-81016194#21,0.0,0.75
110.0,truck1,-81163819#10,0.0,0.75
110.0,truck2,-685069351#5,0.0,0.75
111.0,truck0,-81016194#21,0.0,0.75
111.0,truck1,-81163819#10,0.0,0.75
111.0,truck2,-685069351#5,0.0,0.75
112.0,truck0,-81016194#21,0.0,0.75
112.0,truck1,-81163819#10,0.0,0.75
112.0,truck2,-685069351#5,0.0,0.75
113.0,truck0,-81016194#21,0.0,0.75
113.0,truck1,-81163819#10,0.0,0.75
113.0,truck2,-685069351#5,0.0,0.75
114.0,truck0,-81016194#21,0.0,0.75
114.0,truck1,-81163819#10,0.0,0.75
114.0,truck2,-685069351#5,0.0,0.75
115.0,truck0,-81016194#21,0.0,0.75
115.0,truck1,-81163819#10,0.0,0.75
115.0,truck2,-685069351#5,0.0,0.75
116.0,truck0,-81016194#21,0.0,0.75
116.0,truck1,-81163819#10,0.0,0.75
116.0,truck2,-685069351#5,0.0,0.75
117.0,truck0,-81016194#21,0.0,0.75
117.0,truck1,-81163819#10,0.0,0.75
117.0,truck2,-685069351#5,0.0,0.75
118.0,truck0,-81016194#21,0.0,0.75
118.0,truck1,-81163819#10,0.0,0.75
118.0,truck2,-685069351#5,0.0,0.75
119.0,truck0,-81016194#21,0.0,0.75
119.0,truck1,-81163819#10,0.0,0.75
119.0,truck2,-685069351#5,0.0,0.75
120.0,truck0,-81016194#21,0.0,0.75
120.0,truck1,-81163819#10,0.0,0.75
120.0,truck2,-685069351#5,0.0,0.75
121.0,truck0,-81016194#21,0.0,0.75
121.0,truck1,-81163819#10,0.0,0.75
121.0,truck2,-685069351#5,0.0,0.75
122.0,truck0,-81016194#21,0.0,0.75
122.0,truck1,-81163819#10,0.0,0.75
122.0,truck2,-685069351#5,0.0,0.75
123.0,truck0,-81016194#21,0.0,0.75
123.0,truck1,-81163819#10,0.0,0.75
123.0,truck2,-685069351#5,0.0,0.75
124.0,truck0,-81016194#21,0.0,0.75
124.0,truck1,-81163819#10,0.0,0.75
124.0,truck2,-685069351#5,0.0,0.75
125.0,truck0,-81016194#21,0.0,0.75
125.0,truck1,-81163819#10,0.0,0.75
125.0,truck2,-685069351#5,0.0,0.75
126.0,truck0,-81016194#21,0.0,0.75
126.0,truck1,-81163819#10,0.0,0.75
126.0,truck2,-685069351#5,0.0,0.75
127.0,truck0,-81016194#21,0.0,0.75
127.0,truck1,-81163819#10,0.0,0.75
127.0,truck2,-685069351#5,0.0,0.75
128.0,truck0,-81016194#21,0.0,0.75
128.0,truck1,-81163819#10,0.0,0.75
128.0,truck2,-685069351#5,0.0,0.75
129.0,truck0,-81016194#21,0.0,0.75
129.0,truck1,-81163819#10,0.0,0.75
129.0,truck2,-685069351#5,0.0,0.75
130.0,truck0,-81016194#21,0.0,0.75
130.0,truck1,-81163819#10,0.0,0.75
130.0,truck2,-685069351#5,0.0,0.75
131.0,truck0,-81016194#21,0.0,0.75
131.0,truck1,-81163819#10,0.0,0.75
131.0,truck2,-685069351#5,0.0,0.75
132.0,truck0,-81016194#21,0.0,0.75
132.0,truck1,-81163819#10,0.0,0.75
132.0,truck2,-685069351#5,0.0,0.75
133.0,truck0,-81016194#21,0.0,0.75
133.0,truck1,-81163819#10,0.0,0.75
133.0,truck2,-685069351#5,0.0,0.75
134.0,truck0,-81016194#21,0.0,0.75
134.0,truck1,-81163819#10,0.0,0.75
134.0,truck2,-685069351#5,0.0,0.75
135.0,truck0,-81016194#21,0.0,0.75
135.0,truck1,-81163819#10,0.0,0.75
135.0,truck2,-685069351#5,0.0,0.75
136.0,truck0,-81016194#21,0.0,0.75
136.0,truck1,-81163819#10,0.0,0.75
136.0,truck2,-685069351#5,0.0,0.75
137.0,truck0,-81016194#21,0.0,0.75
137.0,truck1,-81163819#10,0.0,0.75
137.0,truck2,-685069351#5,0.0,0.75
138.0,truck0,-81016194#21,0.0,0.75
138.0,truck1,-81163819#10,0.0,0.75
138.0,truck2,-685069351#5,0.0,0.75
139.0,truck0,-81016194#21,0.0,0.75
139.0,truck1,-81163819#10,0.0,0.75
139.0,truck2,-685069351#5,0.0,0.75
140.0,truck0,-81016194#21,0.0,0.75
140.0,truck1,-81163819#10,0.0,0.75
140.0,truck2,-685069351#5,0.0,0.75
141.0,truck0,-81016194#21,0.0,0.75
141.0,truck1,-81163819#10,0.0,0.75
141.0,truck2,-685069351#5,0.0,0.75
142.0,truck0,-81016194#21,0.0,0.75
142.0,truck1,-81163819#10,0.0,0.75
142.0,truck2,-685069351#5,0.0,0.75
143.0,truck0,-81016194#21,0.0,0.75
143.0,truck1,-81163819#10,0.0,0.75
143.0,truck2,-685069351#5,0.0,0.75
144.0,truck0,-81016194#21,0.0,0.75
144.0,truck1,-81163819#10,0.0,0.75
144.0,truck2,-685069351#5,0.0,0.75
145.0,truck0,-81016194#21,0.0,0.75
145.0,truck1,-81163819#10,0.0,0.75
145.0,truck2,-685069351#5,0.0,0.75
146.0,truck0,-81016194#21,0.0,0.75
146.0,truck1,-81163819#10,0.0,0.75
146.0,truck2,-685069351#5,0.0,0.75
147.0,truck0,-81016194#21,0.0,0.75
147.0,truck1,-81163819#10,0.0,0.75
147.0,truck2,-685069351#5,0.0,0.75
148.0,truck0,-81016194#21,0.0,0.75
148.0,truck1,-81163819#10,0.0,0.75
148.0,truck2,-685069351#5,0.0,0.75
149.0,truck0,-81016194#21,0.0,0.75
149.0,truck1,-81163819#10,0.0,0.75
149.0,truck2,-685069351#5,0.0,0.75
150.0,truck0,-81016194#21,0.0,0.75
150.0,truck1,-81163819#10,0.0,0.75
150.0,truck2,-685069351#5,0.0,0.75
151.0,truck0,-81016194#21,0.0,0.75
151.0,truck1,-81163819#10,0.0,0.75
151.0,truck2,-685069351#5,0.0,0.75
152.0,truck0,-81016194#21,0.0,0.75
152.0,truck1,-81163819#10,0.0,0.75
152.0,truck2,-685069351#5,0.0,0.75
153.0,truck0,-81016194#21,0.0,0.75
153.0,truck1,-81163819#10,0.0,0.75
153.0,truck2,-685069351#5,0.0,0.75
154.0,truck0,-81016194#21,0.0,0.75
154.0,truck1,-81163819#10,0.0,0.75
154.0,truck2,-685069351#5,0.0,0.75
155.0,truck0,-81016194#21,0.0,0.75
155.0,truck1,-81163819#10,0.0,0.75
155.0,truck2,-685069351#5,0.0,0.75
156.0,truck0,-81016194#21,0.0,0.75
156.0,truck1,-81163819#10,0.0,0.75
156.0,truck2,-685069351#5,0.0,0.75
157.0,truck0,-81016194#21,0.0,0.75
157.0,truck1,-81163819#10,0.0,0.75
157.0,truck2,-685069351#5,0.0,0.75
158.0,truck0,-81016194#21,0.0,0.75
158.0,truck1,-81163819#10,0.0,0.75
158.0,truck2,-685069351#5,0.0,0.75
159.0,truck0,-81016194#21,0.0,0.75
159.0,truck1,-81163819#10,0.0,0.75
159.0,truck2,-685069351#5,0.0,0.75
160.0,truck0,-81016194#21,0.0,0.75
160.0,truck1,-81163819#10,0.0,0.75
160.0,truck2,-685069351#5,0.0,0.75
161.0,truck0,-81016194#21,0.0,0.75
161.0,truck1,-81163819#10,0.0,0.75
161.0,truck2,-685069351#5,0.0,0.75
162.0,truck0,-81016194#21,0.0,0.75
162.0,truck1,-81163819#10,0.0,0.75
162.0,truck2,-685069351#5,0.0,0.75
163.0,truck0,-81016194#21,0.0,0.75
163.0,truck1,-81163819#10,0.0,0.75
163.0,truck2,-685069351#5,0.0,0.75
164.0,truck0,-81016194#21,0.0,0.75
164.0,truck1,-81163819#10,0.0,0.75
164.0,truck2,-685069351#5,0.0,0.75
165.0,truck0,-81016194#21,0.0,0.75
165.0,truck1,-81163819#10,0.0,0.75
165.0,truck2,-685069351#5,0.0,0.75
166.0,truck0,-81016194#21,0.0,0.75
166.0,truck1,-81163819#10,0.0,0.75
166.0,truck2,-685069351#5,0.0,0.75
167.0,truck0,-81016194#21,0.0,0.75
167.0,truck1,-81163819#10,0.0,0.75
167.0,truck2,-685069351#5,0.0,0.75
168.0,truck0,-81016194#21,0.0,0.75
168.0,truck1,-81163819#10,0.0,0.75
168.0,truck2,-685069351#5,0.0,0.75
169.0,truck0,-81016194#21,0.0,0.75
169.0,truck1,-81163819#10,0.0,0.75
169.0,truck2,-685069351#5,0.0,0.75
170.0,truck0,-81016194#21,0.0,0.75
170.0,truck1,-81163819#10,0.0,0.75
170.0,truck2,-685069351#5,0.0,0.75
171.0,truck0,-81016194#21,0.0,0.75
171.0,truck1,-81163819#10,0.0,0.75
171.0,truck2,-685069351#5,0.0,0.75
172.0,truck0,-81016194#21,0.0,0.75
172.0,truck1,-81163819#10,0.0,0.75
172.0,truck2,-685069351#5,0.0,0.75
173.0,truck0,-81016194#21,0.0,0.75
173.0,truck1,-81163819#10,0.0,0.75
173.0,truck2,-685069351#5,0.0,0.75
174.0,truck0,-81016194#21,0.0,0.75
174.0,truck1,-81163819#10,0.0,0.75
174.0,truck2,-685069351#5,0.0,0.75
175.0,truck0,-81016194#21,0.0,0.75
175.0,truck1,-81163819#10,0.0,0.75
175.0,truck2,-685069351#5,0.0,0.75
176.0,truck0,-81016194#21,0.0,0.75
176.0,truck1,-81163819#10,0.0,0.75
176.0,truck2,-685069351#5,0.0,0.75
177.0,truck0,-81016194#21,0.0,0.75
177.0,truck1,-81163819#10,0.0,0.75
177.0,truck2,-685069351#5,0.0,0.75
178.0,truck0,-81016194#21,0.0,0.75
178.0,truck1,-81163819#10,0.0,0.75
178.0,truck2,-685069351#5,0.0,0.75
179.0,truck0,-81016194#21,0.0,0.75
179.0,truck1,-81163819#10,0.0,0.75
179.0,truck2,-685069351#5,0.0,0.75
180.0,truck0,-81016194#21,0.0,0.75
180.0,truck1,-81163819#10,0.0,0.75
180.0,truck2,-685069351#5,0.0,0.75
181.0,truck0,-81016194#21,0.0,0.8
181.0,truck1,-81163819#10,0.0,0.8
181.0,truck2,-685069351#5,0.0,0.8
182.0,truck0,-81016194#21,0.0,0.8
182.0,truck1,-81163819#10,0.0,0.8
182.0,truck2,-685069351#5,0.0,0.8
183.0,truck0,-81016194#21,0.0,0.8
183.0,truck1,-81163819#10,0.0,0.8
183.0,truck2,-685069351#5,0.0,0.8
184.0,truck0,-81016194#21,0.0,0.8
184.0,truck1,-81163819#10,0.0,0.8
184.0,truck2,-685069351#5,0.0,0.8
185.0,truck0,-81016194#21,0.0,0.8
185.0,truck1,-81163819#10,0.0,0.8
185.0,truck2,-685069351#5,0.0,0.8
186.0,truck0,-81016194#21,0.0,0.8
186.0,truck1,-81163819#10,0.0,0.8
186.0,truck2,-685069351#5,0.0,0.8
187.0,truck0,-81016194#21,0.0,0.8
187.0,truck1,-81163819#10,0.0,0.8
187.0,truck2,-685069351#5,0.0,0.8
188.0,truck0,-81016194#21,0.0,0.8
188.0,truck1,-81163819#10,0.0,0.8
188.0,truck2,-685069351#5,0.0,0.8
189.0,truck0,-81016194#21,0.0,0.8
189.0,truck1,-81163819#10,0.0,0.8
189.0,truck2,-685069351#5,0.0,0.8
190.0,truck0,-81016194#21,0.0,0.8
190.0,truck1,-81163819#10,0.0,0.8
190.0,truck2,-685069351#5,0.0,0.8
191.0,truck0,-81016194#21,0.0,0.8
191.0,truck1,-81163819#10,0.0,0.8
191.0,truck2,-685069351#5,0.0,0.8
192.0,truck0,-81016194#21,0.0,0.8
192.0,truck1,-81163819#10,0.0,0.8
192.0,truck2,-685069351#5,0.0,0.8
193.0,truck0,-81016194#21,0.0,0.8
193.0,truck1,-81163819#10,0.0,0.8
193.0,truck2,-685069351#5,0.0,0.8
194.0,truck0,-81016194#21,0.0,0.8
194.0,truck1,-81163819#10,0.0,0.8
194.0,truck2,-685069351#5,0.0,0.8
195.0,truck0,-81016194#21,0.0,0.8
195.0,truck1,-81163819#10,0.0,0.8
195.0,truck2,-685069351#5,0.0,0.8
196.0,truck0,-81016194#21,0.0,0.8
196.0,truck1,-81163819#10,0.0,0.8
196.0,truck2,-685069351#5,0.0,0.8
197.0,truck0,-81016194#21,0.0,0.8
197.0,truck1,-81163819#10,0.0,0.8
197.0,truck2,-685069351#5,0.0,0.8
198.0,truck0,-81016194#21,0.0,0.8
198.0,truck1,-81163819#10,0.0,0.8
198.0,truck2,-685069351#5,0.0,0.8
199.0,truck0,-81016194#21,0.0,0.8
199.0,truck1,-81163819#10,0.0,0.8
199.0,truck2,-685069351#5,0.0,0.8
200.0,truck0,-81016194#21,0.0,0.8
200.0,truck1,-81163819#10,0.0,0.8
200.0,truck2,-685069351#5,0.0,0.8
201.0,truck0,-81016194#21,0.0,0.8
201.0,truck1,-81163819#10,0.0,0.8
201.0,truck2,-685069351#5,0.0,0.8
202.0,truck0,-81016194#21,0.0,0.8
202.0,truck1,-81163819#10,0.0,0.8
202.0,truck2,-685069351#5,0.0,0.8
203.0,truck0,-81016194#21,0.0,0.8
203.0,truck1,-81163819#10,0.0,0.8
203.0,truck2,-685069351#5,0.0,0.8
204.0,truck0,-81016194#21,0.0,0.8
204.0,truck1,-81163819#10,0.0,0.8
204.0,truck2,-685069351#5,0.0,0.8
205.0,truck0,-81016194#21,0.0,0.8
205.0,truck1,-81163819#10,0.0,0.8
205.0,truck2,-685069351#5,0.0,0.8
206.0,truck0,-81016194#21,0.0,0.8
206.0,truck1,-81163819#10,0.0,0.8
206.0,truck2,-685069351#5,0.0,0.8
207.0,truck0,-81016194#21,0.0,0.8
207.0,truck1,-81163819#10,0.0,0.8
207.0,truck2,-685069351#5,0.0,0.8
208.0,truck0,-81016194#21,0.0,0.8
208.0,truck1,-81163819#10,0.0,0.8
208.0,truck2,-685069351#5,0.0,0.8
209.0,truck0,-81016194#21,0.0,0.8
209.0,truck1,-81163819#10,0.0,0.8
209.0,truck2,-685069351#5,0.0,0.8
210.0,truck0,-81016194#21,0.0,0.8
210.0,truck1,-81163819#10,0.0,0.8
210.0,truck2,-685069351#5,0.0,0.8
211.0,truck0,-81016194#21,0.0,0.8
211.0,truck1,-81163819#10,0.0,0.8
211.0,truck2,-685069351#5,0.0,0.8
212.0,truck0,-81016194#21,0.0,0.8
212.0,truck1,-81163819#10,0.0,0.8
212.0,truck2,-685069351#5,0.0,0.8
213.0,truck0,-81016194#21,0.0,0.8
213.0,truck1,-81163819#10,0.0,0.8
213.0,truck2,-685069351#5,0.0,0.8
214.0,truck0,-81016194#21,0.0,0.8
214.0,truck1,-81163819#10,0.0,0.8
214.0,truck2,-685069351#5,0.0,0.8
215.0,truck0,-81016194#21,0.0,0.8
215.0,truck1,-81163819#10,0.0,0.8
215.0,truck2,-685069351#5,0.0,0.8
216.0,truck0,-81016194#21,0.0,0.8
216.0,truck1,-81163819#10,0.0,0.8
216.0,truck2,-685069351#5,0.0,0.8
217.0,truck0,-81016194#21,0.0,0.8
217.0,truck1,-81163819#10,0.0,0.8
217.0,truck2,-685069351#5,0.0,0.8
218.0,truck0,-81016194#21,0.0,0.8
218.0,truck1,-81163819#10,0.0,0.8
218.0,truck2,-685069351#5,0.0,0.8
219.0,truck0,-81016194#21,0.0,0.8
219.0,truck1,-81163819#10,0.0,0.8
219.0,truck2,-685069351#5,0.0,0.8
220.0,truck0,-81016194#21,0.0,0.8
220.0,truck1,-81163819#10,0.0,0.8
220.0,truck2,-685069351#5,0.0,0.8
221.0,truck0,-81016194#21,0.0,0.8
221.0,truck1,-81163819#10,0.0,0.8
221.0,truck2,-685069351#5,0.0,0.8
222.0,truck0,-81016194#21,0.0,0.8
222.0,truck1,-81163819#10,0.0,0.8
222.0,truck2,-685069351#5,0.0,0.8
223.0,truck0,-81016194#21,0.0,0.8
223.0,truck1,-81163819#10,0.0,0.8
223.0,truck2,-685069351#5,0.0,0.8
224.0,truck0,-81016194#21,0.0,0.8
224.0,truck1,-81163819#10,0.0,0.8
224.0,truck2,-685069351#5,0.0,0.8
225.0,truck0,-81016194#21,0.0,0.8
225.0,truck1,-81163819#10,0.0,0.8
225.0,truck2,-685069351#5,0.0,0.8
226.0,truck0,-81016194#21,0.0,0.8
226.0,truck1,-81163819#10,0.0,0.8
226.0,truck2,-685069351#5,0.0,0.8
227.0,truck0,-81016194#21,0.0,0.8
227.0,truck1,-81163819#10,0.0,0.8
227.0,truck2,-685069351#5,0.0,0.8
228.0,truck0,-81016194#21,0.0,0.8
228.0,truck1,-81163819#10,0.0,0.8
228.0,truck2,-685069351#5,0.0,0.8
229.0,truck0,-81016194#21,0.0,0.8
229.0,truck1,-81163819#10,0.0,0.8
229.0,truck2,-685069351#5,0.0,0.8
230.0,truck0,-81016194#21,0.0,0.8
230.0,truck1,-81163819#10,0.0,0.8
230.0,truck2,-685069351#5,0.0,0.8
231.0,truck0,-81016194#21,0.0,0.8
231.0,truck1,-81163819#10,0.0,0.8
231.0,truck2,-685069351#5,0.0,0.8
232.0,truck0,-81016194#21,0.0,0.8
232.0,truck1,-81163819#10,0.0,0.8
232.0,truck2,-685069351#5,0.0,0.8
233.0,truck0,-81016194#21,0.0,0.8
233.0,truck1,-81163819#10,0.0,0.8
233.0,truck2,-685069351#5,0.0,0.8
234.0,truck0,-81016194#21,0.0,0.8
234.0,truck1,-81163819#10,0.0,0.8
234.0,truck2,-685069351#5,0.0,0.8
235.0,truck0,-81016194#21,0.0,0.8
235.0,truck1,-81163819#10,0.0,0.8
235.0,truck2,-685069351#5,0.0,0.8
236.0,truck0,-81016194#21,0.0,0.8
236.0,truck1,-81163819#10,0.0,0.8
236.0,truck2,-685069351#5,0.0,0.8
237.0,truck0,-81016194#21,0.0,0.8
237.0,truck1,-81163819#10,0.0,0.8
237.0,truck2,-685069351#5,0.0,0.8
238.0,truck0,-81016194#21,0.0,0.8
238.0,truck1,-81163819#10,0.0,0.8
238.0,truck2,-685069351#5,0.0,0.8
239.0,truck0,-81016194#21,0.0,0.8
239.0,truck1,-81163819#10,0.0,0.8
239.0,truck2,-685069351#5,0.0,0.8
240.0,truck0,-81016194#21,0.0,0.8
240.0,truck1,-81163819#10,0.0,0.8
240.0,truck2,-685069351#5,0.0,0.8
241.0,truck0,-81016194#21,0.0,0.8571428571428571
241.0,truck1,-81163819#10,0.0,0.8571428571428571
241.0,truck2,-685069351#5,0.0,0.8571428571428571
242.0,truck0,-81016194#21,0.0,0.8571428571428571
242.0,truck1,-81163819#10,0.0,0.8571428571428571
242.0,truck2,-685069351#5,0.0,0.8571428571428571
243.0,truck0,-81016194#21,0.0,0.8571428571428571
243.0,truck1,-81163819#10,0.0,0.8571428571428571
243.0,truck2,-685069351#5,0.0,0.8571428571428571
244.0,truck0,-81016194#21,0.0,0.8571428571428571
244.0,truck1,-81163819#10,0.0,0.8571428571428571
244.0,truck2,-685069351#5,0.0,0.8571428571428571
245.0,truck0,-81016194#21,0.0,0.8571428571428571
245.0,truck1,-81163819#10,0.0,0.8571428571428571
245.0,truck2,-685069351#5,0.0,0.8571428571428571
246.0,truck0,-81016194#21,0.0,0.8571428571428571
246.0,truck1,-81163819#10,0.0,0.8571428571428571
246.0,truck2,-685069351#5,0.0,0.8571428571428571
247.0,truck0,-81016194#21,0.0,0.8571428571428571
247.0,truck1,-81163819#10,0.0,0.8571428571428571
247.0,truck2,-685069351#5,0.0,0.8571428571428571
248.0,truck0,-81016194#21,0.0,0.8571428571428571
248.0,truck1,-81163819#10,0.0,0.8571428571428571
248.0,truck2,-685069351#5,0.0,0.8571428571428571
249.0,truck0,-81016194#21,0.0,0.8571428571428571
249.0,truck1,-81163819#10,0.0,0.8571428571428571
249.0,truck2,-685069351#5,0.0,0.8571428571428571
250.0,truck0,-81016194#21,0.0,0.8571428571428571
250.0,truck1,-81163819#10,0.0,0.8571428571428571
250.0,truck2,-685069351#5,0.0,0.8571428571428571
251.0,truck0,-81016194#21,0.0,0.8571428571428571
251.0,truck1,-81163819#10,0.0,0.8571428571428571
251.0,truck2,-685069351#5,0.0,0.8571428571428571
252.0,truck0,-81016194#21,0.0,0.8571428571428571
252.0,truck1,-81163819#10,0.0,0.8571428571428571
252.0,truck2,-685069351#5,0.0,0.8571428571428571
253.0,truck0,-81016194#21,0.0,0.8571428571428571
253.0,truck1,-81163819#10,0.0,0.8571428571428571
253.0,truck2,-685069351#5,0.0,0.8571428571428571
254.0,truck0,-81016194#21,0.0,0.8571428571428571
254.0,truck1,-81163819#10,0.0,0.8571428571428571
254.0,truck2,-685069351#5,0.0,0.8571428571428571
255.0,truck0,-81016194#21,0.0,0.8571428571428571
255.0,truck1,-81163819#10,0.0,0.8571428571428571
255.0,truck2,-685069351#5,0.0,0.8571428571428571
256.0,truck0,-81016194#21,0.0,0.8571428571428571
256.0,truck1,-81163819#10,0.0,0.8571428571428571
256.0,truck2,-685069351#5,0.0,0.8571428571428571
257.0,truck0,-81016194#21,0.0,0.8571428571428571
257.0,truck1,-81163819#10,0.0,0.8571428571428571
257.0,truck2,-685069351#5,0.0,0.8571428571428571
258.0,truck0,-81016194#21,0.0,0.8571428571428571
258.0,truck1,-81163819#10,0.0,0.8571428571428571
258.0,truck2,-685069351#5,0.0,0.8571428571428571
